Timestamp,Perpustakaan,Jantina,Umur,Tahap_tertinggi_pendidikan,Agama,Bangsa,Status_perkahwinan,Mengunjungi_perpustakaan,Perpustakaan_fizikal,Perpustakaan_digital,Kekerapan_mengunjungi_perpustakaan,Ahli,Jarak_lokasi,Lokasi_strategik,Kepentingan_perpustakaan,Manfaat_perpustakaan,Keperluan_perpustakaan,Kekurangan_pengunjung,Penutupan_perpustakaan,Alternatif_baru,Aktiviti_perpustakaan,Tahap_promosi,Operasi_perpustakaan,Waktu_perkhidmatan,Sistem_Pinjaman_dan_Pemulangan_Koleksi,Layanan_Staf_di_Kaunter_Sirkulasi,Koleksi_Dewasa,Koleksi_Kanak_kanak,Koleksi_Rujukan,Koleksi_Akhbar_dan_Majalah,Koleksi_Pangkalan_Data,Perkhidmatan_Fotokopi,Perkhidmatan_Cetakan,Program_Galak_Guna_Perpustakaan_Aktiviti_Perpustakaan,Perabot_Dan_Peralatan,Keceriaan_DanKebersian
2025/04/23 3:01:14 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,0-17 (Remaja),SRP/PMR/PT3,Islam,Melayu,Bujang,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Tidak pernah kunjungi,Kadang-kadang,Ya,4-5 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Sumber dalam talian,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Baik,Tidak Memuaskan,Tidak Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/23 3:05:52 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Tidak pernah,Tidak pernah kunjungi,Tidak pernah kunjungi,Kadang-kadang,Tidak,4-5 km,Tidak,Tidak,Ya,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Tidak,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Tidak Memuaskan,Tidak Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/23 3:07:44 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,0-17 (Remaja),SRP/PMR/PT3,Islam,Melayu,Bujang,Perpustakaan fizikal,Membaca,Tidak pernah kunjungi,Kadang-kadang,Ya,1-3 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Tidak Memuaskan,Tidak Memuaskan,Baik,Baik,Baik
2025/04/23 3:09:39 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,0-17 (Remaja),SRP/PMR/PT3,Islam,Melayu,Bujang,Perpustakaan fizikal,"Berjumpa kawan;""Healing"";Membaca","Berjumpa kawan;""Healing"";Membaca",Sebulan sekali,Ya,1-3 km,Ya,Ya,Ya,Ya,Tidak,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Sangat baik,Ya,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik
2025/04/23 3:11:38 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,18-30 (Dewasa Muda),Sijil Kemahiran,Islam,Melayu,Bujang,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Belajar atau menyelesaikan tugasan,Kadang-kadang,Ya,4-5 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Sumber dalam talian,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/23 3:14:12 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,51+ (Warga Emas),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku;Belajar atau menyelesaikan tugasan,Membuat rujukan / penyelidikan,Kadang-kadang,Ya,4-5 km,Tidak,Ya,Tidak,Ya,Ya,Perlu ditutup,Sumber dalam talian,Ya,Baik,Tidak,Memuaskan,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Baik,Baik,Baik
2025/04/23 3:17:22 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,31-50 (Dewasa),SRP/PMR/PT3,Islam,Melayu,Berkahwin,Tidak pernah,Tidak pernah kunjungi,Tidak pernah kunjungi,Tidak pernah,Tidak,6-10 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Beli,Ya,Neutral,Tidak,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/23 3:19:12 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,0-17 (Remaja),SRP/PMR/PT3,Islam,Melayu,Bujang,Perpustakaan fizikal,Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan,"Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Berjumpa kawan;""Healing"";Mencari maklumat dalam subjek khas/khusus",Sebulan sekali,Tidak,1-3 km,Tidak,Ya,Ya,Ya,Ya,Perlu ditutup,Sumber dalam talian,Ya,Baik,Ya,Baik,Baik,Sangat Baik,Baik,Sangat Baik,Sangat Baik,Baik,Baik,Baik,Baik,Baik,Baik,Sangat Baik
2025/04/23 3:21:14 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,31-50 (Dewasa),SRP/PMR/PT3,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Mencari maklumat dalam subjek khas/khusus,Kadang-kadang,Tidak,6-10 km,Tidak,Ya,Ya,Ya,Ya,Perlu ditutup,Sumber dalam talian,Ya,Baik,Tidak,Memuaskan,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/23 3:23:26 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,31-50 (Dewasa),STPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Membuat rujukan / penyelidikan;Berjumpa kawan,Jarang-jarang,Tidak,4-5 km,Tidak,Ya,Tidak,Tidak,Ya,Perlu ditutup,Pembelian buku rujukan,Ya,Neutral,Tidak,Sangat Baik,Memuaskan,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik
2025/04/23 3:25:01 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,31-50 (Dewasa),SPM/Setara,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menyertai aktiviti perpustakaan,Membuat rujukan / penyelidikan,Kadang-kadang,Ya,4-5 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Sumber dalam talian,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Baik,Memuaskan,Sangat Baik
2025/04/23 3:26:34 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,31-50 (Dewasa),SRP/PMR/PT3,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menyertai aktiviti perpustakaan,Tidak pernah kunjungi,Jarang-jarang,Ya,1-3 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Memuaskan,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Baik,Memuaskan,Baik
2025/04/23 3:28:40 PM GMT+8,Perpustakaan Desa Kuala Dipang,Perempuan,31-50 (Dewasa),SRP/PMR/PT3,Islam,Melayu,Berkahwin,Perpustakaan fizikal,Menyertai aktiviti perpustakaan,Tidak pernah kunjungi,Kadang-kadang,Ya,1-3 km,Tidak,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat,Ya,Baik,Ya,Memuaskan,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Baik,Memuaskan,Baik
2025/04/23 3:30:18 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,0-17 (Remaja),SRP/PMR/PT3,Islam,Melayu,Bujang,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Berjumpa kawan,"Menggunakan kemudahan perpustakaan;Berjumpa kawan;""Healing"";Membaca",Kadang-kadang,Tidak,4-5 km,Ya,Ya,Ya,Ya,Ya,Perlu ditutup,Tidak akan mencari bahan lain,Ya,Baik,Ya,Baik,Baik,Baik,Baik,Sangat Baik,Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik,Sangat Baik
2025/04/23 3:31:43 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,0-17 (Remaja),SRP/PMR/PT3,Islam,Melayu,Bujang,Perpustakaan fizikal,Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Berjumpa kawan,Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Berjumpa kawan,Kadang-kadang,Ya,1-3 km,Ya,Ya,Ya,Ya,Tidak,Tidak perlu ditutup,Tidak akan mencari bahan lain,Ya,Neutral,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik
2025/04/23 3:33:01 PM GMT+8,Perpustakaan Desa Kuala Dipang,Lelaki,0-17 (Remaja),SRP/PMR/PT3,Islam,Melayu,Bujang,Perpustakaan fizikal,Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Berjumpa kawan,Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Berjumpa kawan,Kadang-kadang,Ya,1-3 km,Ya,Ya,Ya,Ya,Tidak,Tidak perlu ditutup,Tidak akan mencari bahan lain,Ya,Neutral,Ya,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Baik
